Model,Accuracy,Precision,Recall,F1,R²,MAE,RMSE
Mental Health - Original,0.9438784629133155,0.9440448093617875,0.9438784629133155,0.9438600396951915,,,
Productivity - Original,,,,,-8.337943629464629,46.43864940036762,49.04456349053295
Student Depression - Original,0.8571428571428571,0.8555555555555556,0.8571428571428571,0.8541114058355438,,,
